Variant,Type,Calc_Bits,Time_Bits,Node_Bits,Seq_Bits,Target_Phi,Rank,Prime_Dec,Prime_Hex,Dist,Error_Pct,Quality,Is_Safe
Chrono64 (27b),Sequence,15,36,12,15,20251,1,20249,0x4f19,2,0.009876,Excellent,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,2,20261,0x4f25,10,0.049380,Excellent,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,3,20233,0x4f09,18,0.088884,Excellent,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,4,20269,0x4f2d,18,0.088884,Excellent,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,5,20231,0x4f07,20,0.098761,Excellent,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,6,20219,0x4efb,32,0.158017,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,7,20287,0x4f3f,36,0.177769,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,8,20297,0x4f49,46,0.227149,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,9,20201,0x4ee9,50,0.246901,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,10,20183,0x4ed7,68,0.335786,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,11,20323,0x4f63,72,0.355538,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,12,20177,0x4ed1,74,0.365414,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,13,20327,0x4f67,76,0.375290,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,14,20173,0x4ecd,78,0.385166,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,15,20333,0x4f6d,82,0.404918,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,16,20161,0x4ec1,90,0.444422,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,17,20341,0x4f75,90,0.444422,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,18,20347,0x4f7b,96,0.474051,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,19,20149,0x4eb5,102,0.503679,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,20,20353,0x4f81,102,0.503679,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,21,20147,0x4eb3,104,0.513555,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,22,20357,0x4f85,106,0.523431,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,23,20143,0x4eaf,108,0.533307,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,24,20359,0x4f87,108,0.533307,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,25,20369,0x4f91,118,0.582687,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,26,20129,0x4ea1,122,0.602439,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,27,20123,0x4e9b,128,0.632068,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,28,20117,0x4e95,134,0.661696,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,29,20113,0x4e91,138,0.681448,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,30,20389,0x4fa5,138,0.681448,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,31,20393,0x4fa9,142,0.701200,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,32,20107,0x4e8b,144,0.711076,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,33,20399,0x4faf,148,0.730828,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,34,20101,0x4e85,150,0.740704,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,35,20407,0x4fb7,156,0.770332,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,36,20411,0x4fbb,160,0.790084,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,37,20089,0x4e79,162,0.799960,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,38,20071,0x4e67,180,0.888845,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,39,20431,0x4fcf,180,0.888845,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,40,20063,0x4e5f,188,0.928349,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,41,20441,0x4fd9,190,0.938225,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,42,20443,0x4fdb,192,0.948101,Very Good,YES
Chrono64 (27b),Sequence,15,36,12,15,20251,43,20051,0x4e53,200,0.987606,Very Good,YES
