bit,diffusion
0,48.010625000000005
1,45.1065625
2,44.876875
3,44.276875
4,46.2259375
5,44.3953125
6,41.771875
7,40.918749999999996
8,39.269375000000004
9,36.4840625
10,36.179375
11,35.816874999999996
12,35.2378125
13,33.889375
14,31.5971875
15,30.185937499999998
16,27.767812499999998
17,26.426875
18,23.5421875
19,22.919375
20,21.68
21,19.1565625
22,17.926562500000003
23,15.7475
24,13.984374999999998
25,11.22375
26,10.487499999999999
27,8.8040625
28,5.8334375000000005
29,5.4871875
30,4.6746875
31,3.125
